id,seq,dec,raw_t,raw_tgo,d_sender,d_self,d_self_sender,raw_timeout
9,6,1,297174926247360,0,0,0,0,297174926247360
6,9,1,297174926247360,0,0,0,0,297174926247360
3,12,1,297174926247997,0,0,0,0,297174926247997
8,7,1,297174926253737,0,0,0,0,297174926253737
10,5,1,297174926256843,0,0,0,0,297174926256843
7,8,1,297174926267887,0,0,0,0,297174926267887
0,16,1,297174926285794,0,0,0,0,297174926285794
5,10,1,297174926295715,0,0,0,0,297174926295715
11,3,1,297174927222232,0,0,0,0,297174927222232
4,12,1,297174927233739,0,0,0,0,297174927233739
12,2,1,297174927235950,0,0,0,0,297174927235950
1,16,1,297174927238438,0,0,0,0,297174927238438
9,7,1,297174927247360,0,0,0,0,297174927247360
6,10,1,297174927247360,0,0,0,0,297174927247360
3,13,1,297174927247997,0,0,0,0,297174927247997
8,8,1,297174927253737,0,0,0,0,297174927253737
10,6,1,297174927256843,0,0,0,0,297174927256843
7,9,1,297174927267887,0,0,0,0,297174927267887
0,17,1,297174927285794,0,0,0,0,297174927285794
5,11,1,297174927295715,0,0,0,0,297174927295715
11,4,1,297174928222232,0,0,0,0,297174928222232
4,13,1,297174928233739,0,0,0,0,297174928233739
12,3,1,297174928235950,0,0,0,0,297174928235950
1,17,1,297174928238438,0,0,0,0,297174928238438
9,8,1,297174928247360,0,0,0,0,297174928247360
6,11,1,297174928247360,0,0,0,0,297174928247360
3,14,1,297174928247997,0,0,0,0,297174928247997
8,9,1,297174928253737,0,0,0,0,297174928253737
10,7,1,297174928256843,0,0,0,0,297174928256843
7,10,1,297174928267887,0,0,0,0,297174928267887
14,0,1,297174928275068,0,0,0,0,297174928275068
0,18,1,297174928285794,0,0,0,0,297174928285794
5,12,1,297174928295715,0,0,0,0,297174928295715
11,5,1,297174929222232,0,0,0,0,297174929222232
4,14,1,297174929233739,0,0,0,0,297174929233739
12,4,1,297174929235950,0,0,0,0,297174929235950
1,18,1,297174929238438,0,0,0,0,297174929238438
9,9,1,297174929247360,0,0,0,0,297174929247360
6,12,1,297174929247360,0,0,0,0,297174929247360
8,10,1,297174929253737,0,0,0,0,297174929253737
10,8,1,297174929256843,0,0,0,0,297174929256843
7,11,1,297174929267887,0,0,0,0,297174929267887
14,1,1,297174929275068,0,0,0,0,297174929275068
0,19,1,297174929285794,0,0,0,0,297174929285794
5,13,1,297174929295715,0,0,0,0,297174929295715
11,6,1,297174930222232,0,0,0,0,297174930222232
4,15,1,297174930233739,0,0,0,0,297174930233739
12,5,1,297174930235950,0,0,0,0,297174930235950
1,19,1,297174930238438,0,0,0,0,297174930238438
9,10,1,297174930247360,0,0,0,0,297174930247360
6,13,1,297174930247360,0,0,0,0,297174930247360
8,11,1,297174930253737,0,0,0,0,297174930253737
10,9,1,297174930256843,0,0,0,0,297174930256843
7,12,1,297174930267887,0,0,0,0,297174930267887
14,2,1,297174930275068,0,0,0,0,297174930275068
0,20,1,297174930285794,0,0,0,0,297174930285794
5,14,1,297174930295715,0,0,0,0,297174930295715
11,7,1,297174931222232,0,0,0,0,297174931222232
4,16,1,297174931233739,0,0,0,0,297174931233739
12,6,1,297174931235950,0,0,0,0,297174931235950
1,20,1,297174931238438,0,0,0,0,297174931238438
6,14,1,297174931247360,0,0,0,0,297174931247360
9,11,1,297174931247360,0,0,0,0,297174931247360
8,12,1,297174931253737,0,0,0,0,297174931253737
10,10,1,297174931256843,0,0,0,0,297174931256843
7,13,1,297174931267887,0,0,0,0,297174931267887
14,3,1,297174931275068,0,0,0,0,297174931275068
0,21,1,297174931285794,0,0,0,0,297174931285794
5,15,1,297174931295715,0,0,0,0,297174931295715
11,8,1,297174932222232,0,0,0,0,297174932222232
4,17,1,297174932233739,0,0,0,0,297174932233739
12,7,1,297174932235950,0,0,0,0,297174932235950
1,21,1,297174932238438,0,0,0,0,297174932238438
9,12,1,297174932247360,0,0,0,0,297174932247360
6,15,1,297174932247360,0,0,0,0,297174932247360
8,13,1,297174932253737,0,0,0,0,297174932253737
10,11,1,297174932256843,0,0,0,0,297174932256843
7,14,1,297174932267887,0,0,0,0,297174932267887
14,4,1,297174932275068,0,0,0,0,297174932275068
0,22,1,297174932285794,0,0,0,0,297174932285794
5,16,1,297174932295715,0,0,0,0,297174932295715
16,0,1,297174932899529,0,0,0,0,297174932899529
20,0,5,297174932959742,0,0,311.697,311.697,297174932959742
20,0,2,297174933019732,0,0,311.297,311.297,297174933019732
16,0,4,297174933089127,0,311.286,0.787084,311.17,297174933089127
11,9,1,297174933222232,0,0,0,0,297174933222232
4,18,1,297174933233739,0,0,0,0,297174933233739
12,8,1,297174933235950,0,0,0,0,297174933235950
1,22,1,297174933238438,0,0,0,0,297174933238438
9,13,1,297174933247360,0,0,0,0,297174933247360
6,16,1,297174933247360,0,0,0,0,297174933247360
8,14,1,297174933253737,0,0,0,0,297174933253737
10,12,1,297174933256843,0,0,0,0,297174933256843
7,15,1,297174933267887,0,0,0,0,297174933267887
14,5,1,297174933275068,0,0,0,0,297174933275068
0,23,1,297174933285794,0,0,0,0,297174933285794
5,17,1,297174933295715,0,0,0,0,297174933295715
16,1,1,297174933899529,0,0,0,0,297174933899529
20,1,5,297174933899735,0,0,305.967,305.967,297174933899735
16,1,3,297174933986679,0,305.585,0.570582,305.294,297174933986679
11,10,1,297174934222232,0,0,0,0,297174934222232
4,19,1,297174934233739,0,0,0,0,297174934233739
12,9,1,297174934235950,0,0,0,0,297174934235950
17,0,1,297174934236872,0,0,0,0,297174934236872
1,23,1,297174934238438,0,0,0,0,297174934238438
9,14,1,297174934247360,0,0,0,0,297174934247360
6,17,1,297174934247360,0,0,0,0,297174934247360
8,15,1,297174934253737,0,0,0,0,297174934253737
10,13,1,297174934256843,0,0,0,0,297174934256843
7,16,1,297174934267887,0,0,0,0,297174934267887
14,6,1,297174934275068,0,0,0,0,297174934275068
0,24,1,297174934285794,0,0,0,0,297174934285794
5,18,1,297174934295715,0,0,0,0,297174934295715
16,2,1,297174934899529,0,0,0,0,297174934899529
20,2,5,297174934899740,0,0,299.017,299.017,297174934899740
16,2,3,297174934986685,0,298.675,0.775727,298.301,297174934986685
18,0,1,297174935203918,0,0,0,0,297174935203918
11,11,1,297174935222232,0,0,0,0,297174935222232
4,20,1,297174935233739,0,0,0,0,297174935233739
12,10,1,297174935235950,0,0,0,0,297174935235950
17,1,1,297174935236872,0,0,0,0,297174935236872
1,24,1,297174935238438,0,0,0,0,297174935238438
9,15,1,297174935247360,0,0,0,0,297174935247360
6,18,1,297174935247360,0,0,0,0,297174935247360
8,16,1,297174935253737,0,0,0,0,297174935253737
10,14,1,297174935256843,0,0,0,0,297174935256843
7,17,1,297174935267887,0,0,0,0,297174935267887
14,7,1,297174935275068,0,0,0,0,297174935275068
0,25,1,297174935285794,0,0,0,0,297174935285794
5,19,1,297174935295715,0,0,0,0,297174935295715
16,3,1,297174935899529,0,0,0,0,297174935899529
20,3,5,297174935899732,0,0,291.606,291.606,297174935899732
16,3,3,297174935986676,0,291.313,0.937906,290.887,297174935986676
18,1,1,297174936203918,0,0,0,0,297174936203918
11,12,1,297174936222232,0,0,0,0,297174936222232
19,0,1,297174936226538,0,0,0,0,297174936226538
4,21,1,297174936233739,0,0,0,0,297174936233739
12,11,1,297174936235950,0,0,0,0,297174936235950
17,2,1,297174936236872,0,0,0,0,297174936236872
1,25,1,297174936238438,0,0,0,0,297174936238438
9,16,1,297174936247360,0,0,0,0,297174936247360
6,19,1,297174936247360,0,0,0,0,297174936247360
8,17,1,297174936253737,0,0,0,0,297174936253737
10,15,1,297174936256843,0,0,0,0,297174936256843
7,18,1,297174936267887,0,0,0,0,297174936267887
14,8,1,297174936275068,0,0,0,0,297174936275068
0,26,1,297174936285794,0,0,0,0,297174936285794
5,20,1,297174936295715,0,0,0,0,297174936295715
16,4,1,297174936899529,0,0,0,0,297174936899529
20,4,5,297174936899735,0,0,284.924,284.924,297174936899735
16,4,3,297174936986680,0,284.714,0.927737,284.347,297174936986680
18,2,1,297174937203918,0,0,0,0,297174937203918
11,13,1,297174937222232,0,0,0,0,297174937222232
20,0,1,297174937226473,0,0,0,0,297174937226473
19,1,1,297174937226538,0,0,0,0,297174937226538
4,22,1,297174937233739,0,0,0,0,297174937233739
12,12,1,297174937235950,0,0,0,0,297174937235950
17,3,1,297174937236872,0,0,0,0,297174937236872
1,26,1,297174937238438,0,0,0,0,297174937238438
6,20,1,297174937247360,0,0,0,0,297174937247360
9,17,1,297174937247360,0,0,0,0,297174937247360
8,18,1,297174937253737,0,0,0,0,297174937253737
10,16,1,297174937256843,0,0,0,0,297174937256843
7,19,1,297174937267887,0,0,0,0,297174937267887
14,9,1,297174937275068,0,0,0,0,297174937275068
0,27,1,297174937285794,0,0,0,0,297174937285794
16,0,5,297174937286682,0,0,282.72,282.72,297174937286682
22,0,5,297174937286684,0,0,909.715,909.715,297174937286684
5,21,1,297174937295715,0,0,0,0,297174937295715
20,0,4,297174937333255,0,909.715,0.881253,908.953,297174937333255
16,0,2,297174937333256,0,909.715,282.367,1035.61,297174937333256
16,0,2,297174937346684,0,0,282.193,282.193,297174937346684
22,0,4,297174937346686,0,0,908.325,908.325,297174937346686
20,0,4,297174937459732,0,282.367,1.75689,282.035,297174937459732
22,0,4,297174937459735,0,282.367,908.469,1034.17,297174937459735
16,5,1,297174937899529,0,0,0,0,297174937899529
20,5,5,297174937899742,0,0,279.766,279.766,297174937899742
16,5,3,297174937986687,0,279.629,0.925242,279.31,297174937986687
18,3,1,297174938203918,0,0,0,0,297174938203918
11,14,1,297174938222232,0,0,0,0,297174938222232
20,1,1,297174938226473,0,0,0,0,297174938226473
19,2,1,297174938226538,0,0,0,0,297174938226538
16,1,5,297174938226683,0,0,278,278,297174938226683
22,1,5,297174938226685,0,0,895.873,895.873,297174938226685
4,23,1,297174938233739,0,0,0,0,297174938233739
12,13,1,297174938235950,0,0,0,0,297174938235950
17,4,1,297174938236872,0,0,0,0,297174938236872
20,1,2,297174938238205,0,896.501,0,896.501,297174938238205
16,1,2,297174938238206,0,896.501,278,1033.8,297174938238206
1,27,1,297174938238438,0,0,0,0,297174938238438
9,18,1,297174938247360,0,0,0,0,297174938247360
6,21,1,297174938247360,0,0,0,0,297174938247360
8,19,1,297174938253737,0,0,0,0,297174938253737
21,0,1,297174938255181,0,0,0,0,297174938255181
10,17,1,297174938256843,0,0,0,0,297174938256843
7,20,1,297174938267887,0,0,0,0,297174938267887
14,10,1,297174938275068,0,0,0,0,297174938275068
0,28,1,297174938285794,0,0,0,0,297174938285794
5,22,1,297174938295715,0,0,0,0,297174938295715
20,1,4,297174938299368,0,278.303,0,278.303,297174938299368
22,1,4,297174938299370,0,278.303,895.873,1032.55,297174938299370
16,6,1,297174938899529,0,0,0,0,297174938899529
20,6,5,297174938899736,0,0,275.725,275.725,297174938899736
16,6,3,297174938986680,0,275.759,0.915067,275.502,297174938986680
18,4,1,297174939203918,0,0,0,0,297174939203918
11,15,1,297174939222232,0,0,0,0,297174939222232
20,2,1,297174939226473,0,0,0,0,297174939226473
19,3,1,297174939226538,0,0,0,0,297174939226538
16,2,5,297174939226677,0,0,274.883,274.883,297174939226677
22,2,5,297174939226679,0,0,881.911,881.911,297174939226679
4,24,1,297174939233739,0,0,0,0,297174939233739
12,14,1,297174939235950,0,0,0,0,297174939235950
17,5,1,297174939236872,0,0,0,0,297174939236872
1,28,1,297174939238438,0,0,0,0,297174939238438
20,2,2,297174939239577,0,882.539,0,882.539,297174939239577
16,2,2,297174939239577,0,882.539,274.883,1031.9,297174939239577
9,19,1,297174939247360,0,0,0,0,297174939247360
6,22,1,297174939247360,0,0,0,0,297174939247360
8,20,1,297174939253737,0,0,0,0,297174939253737
21,1,1,297174939255181,0,0,0,0,297174939255181
10,18,1,297174939256843,0,0,0,0,297174939256843
7,21,1,297174939267887,0,0,0,0,297174939267887
14,11,1,297174939275068,0,0,0,0,297174939275068
0,29,1,297174939285794,0,0,0,0,297174939285794
5,23,1,297174939295715,0,0,0,0,297174939295715
20,2,4,297174939300258,0,275.132,0.865592,275.185,297174939300258
22,2,4,297174939300261,0,275.132,881.289,1029.92,297174939300261
16,7,1,297174939899529,0,0,0,0,297174939899529
20,7,5,297174939899742,0,0,273.962,273.962,297174939899742
22,7,5,297174939899745,0,0,1030.04,1030.04,297174939899745
20,7,3,297174939933250,0,1030.04,274.046,872.524,297174939933250
16,7,2,297174939933250,0,1030.04,0.85174,1030.53,297174939933250
20,7,4,297174940019737,0,0,273.955,273.955,297174940019737
22,7,4,297174940019740,0,0,1029.01,1029.01,297174940019740
18,5,1,297174940203918,0,0,0,0,297174940203918
11,16,1,297174940222232,0,0,0,0,297174940222232
20,3,1,297174940226473,0,0,0,0,297174940226473
19,4,1,297174940226538,0,0,0,0,297174940226538
16,3,5,297174940226675,0,0,273.682,273.682,297174940226675
22,3,5,297174940226677,0,0,867.36,867.36,297174940226677
4,25,1,297174940233739,0,0,0,0,297174940233739
12,15,1,297174940235950,0,0,0,0,297174940235950
17,6,1,297174940236872,0,0,0,0,297174940236872
1,29,1,297174940238438,0,0,0,0,297174940238438
20,3,2,297174940241018,0,868.056,0,868.056,297174940241018
16,3,2,297174940241018,0,868.056,273.682,1029.58,297174940241018
6,23,1,297174940247360,0,0,0,0,297174940247360
8,21,1,297174940253737,0,0,0,0,297174940253737
21,2,1,297174940255181,0,0,0,0,297174940255181
10,19,1,297174940256843,0,0,0,0,297174940256843
7,22,1,297174940267887,0,0,0,0,297174940267887
14,12,1,297174940275068,0,0,0,0,297174940275068
0,30,1,297174940285794,0,0,0,0,297174940285794
5,24,1,297174940295715,0,0,0,0,297174940295715
20,3,4,297174940359737,0,273.682,0.853264,273.793,297174940359737
22,3,4,297174940359739,0,273.682,866.66,1028.06,297174940359739
22,0,1,297174940573044,0,0,0,0,297174940573044
20,0,5,297174940633249,0,0,862.095,862.095,297174940633249
22,0,4,297174940686681,0,862.095,0.778981,861.4,297174940686681
20,0,4,297174940693248,0,0,861.4,861.4,297174940693248
16,8,1,297174940899529,0,0,0,0,297174940899529
20,8,5,297174940899735,0,0,273.652,273.652,297174940899735
